GEO_ID,Name,Complete County Name,County Equivalent Name,State,State Abbreviation,5-digit FIPS Code,State FIPS Code,State FIPS and Congressional District Number Code,RUCC_2023,IRR2000,SVI_2022,Total Population,Median Income,Percent With Internet,Some College or Associate's Degree,Mental Health Providers,White Population,Poverty 18-64,Lacking Complete Plumbing Facilities,65+,Percent Less Than High School Graduate,No Vehicle Available,Housing Cost Burden,Ratio of population to primary care physicians,Unemployment,Uninsured,Long Commutes,Drinking Water Violations,Natural Disaster Risk,Food Insecurity,Heart Disease Mortality,Preventable Hospital Stays,Poor or Fair Health,Infant Mortality,Premature Mortality
0500000US45001,"Abbeville County, South Carolina",Abbeville County,Abbeville,South Carolina,SC,45001,45,4503,6,0.5105331959828361,0.5988,24356.0,52112,0.7612266112,0.1505173263261619,0.0006158647,0.6931351617671211,0.128,0.0231154540975529,0.2256528165544424,0.175,0.022869108227952,0.1058718861,1869.1538462,0.0386939468,0.1324577026,0.445,1.0,0.386891504931594,0.096,354.9,2519.0,0.2,,564.94138246
0500000US51001,"Accomack County, Virginia",Accomack County,Accomack,Virginia,VA,51001,51,5102,9,0.5022571246931485,0.8597,33191.0,57500,0.8057816447,0.1240095206531891,0.0012955319,0.6098038624928445,0.122,0.0300382633846524,0.2525383387062758,0.1009999999999999,0.0294658190473321,0.1183008526,2770.5,0.0327171082,0.1339616429,0.254,1.0,0.895641107222399,0.097,421.9,2002.0,0.205,9.4711917916,536.96065031
0500000US21001,"Adair County, Kentucky",Adair County,Adair,Kentucky,KY,21001,21,2101,7,0.5372789196498806,0.6026,19067.0,50316,0.8156695575,0.1470079194419678,0.002727225,0.9107882729322914,0.173,0.0261708711386164,0.1958881837730109,0.094,0.0232863061834583,0.0891551268,3786.4,0.0454482279,0.0787050156,0.271,0.0,0.3608017817371937,0.137,430.1,3499.0,0.226,,540.49801366
0500000US29001,"Adair County, Missouri",Adair County,Adair,Missouri,MO,29001,29,2906,7,0.5258633951622329,0.4006,25165.0,56583,0.808551444,0.0991853765150009,0.0029008544,0.8910788793959865,0.268,0.0416451420623882,0.1519173455195708,0.051,0.0257500496721637,0.1227541148,572.38636364,0.0298750127,0.1373000161,0.167,1.0,0.5154311167674197,0.129,309.1,2520.0,0.192,,473.63206452
0500000US40001,"Adair County, Oklahoma",Adair County,Adair,Oklahoma,OK,40001,40,4002,8,0.5261566336609764,0.9472,19576.0,48028,0.5486273364,0.1348590110339191,0.002503065,0.4043727012668573,0.1969999999999999,0.0323865958316305,0.15830608908868,0.1369999999999999,0.0342255823457294,0.1108280255,3882.8,0.0334805859,0.2009690051,0.391,0.0,0.662424435252943,0.175,624.1,5556.0,0.289,9.5419847328,722.92191602
0500000US16003,"Adams County, Idaho",Adams County,Adams,Idaho,ID,16003,16,1601,9,0.632306154343011,0.2017,4817.0,59286,0.7385892116,0.1831015154660577,0.0006227943,0.8744031554909695,0.142,0.0128710815860494,0.2900145318663068,0.132,0.0039443637118538,0.1131611316,1541.6666667,0.0527210884,0.1208307111,0.216,0.0,0.5090677696468342,0.12,214.4,1260.0,0.157,,345.95211032
0500000US17001,"Adams County, Illinois",Adams County,Adams,Illinois,IL,17001,17,1715,5,0.4924214903731806,0.2965,64725.0,64962,0.8361586031,0.1621629972962533,0.0031054461,0.9157358053302432,0.111,0.0079412900733874,0.2019621475473155,0.076,0.0302201622247972,0.0895914689,955.20588235,0.0332033788,0.0583808572,0.172,1.0,0.5109767737830099,0.094,298.1,3987.0,0.148,6.1638868745,410.62059731
0500000US28001,"Adams County, Mississippi",Adams County,Adams,Mississippi,MS,28001,28,2802,7,0.5029885977259536,0.971,28408.0,40250,0.8130487175,0.1609405801182765,0.0012320473,0.3930934947901999,0.26,0.0558293438468037,0.2207476767107856,0.242,0.0324556462968178,0.1447850395,1306.4545455,0.0515816472,0.1653450229,0.2,0.0,0.5437480114540248,0.185,382.6,3185.0,0.273,9.5198675497,623.15340639
0500000US31001,"Adams County, Nebraska",Adams County,Adams,Nebraska,NE,31001,31,3103,4,0.5208698934557126,0.4769,30970.0,65680,0.8623889282,0.1882789796577333,0.004036164,0.8540200193735873,0.126,0.0012269938650306,0.1850500484339683,0.09,0.0220858895705521,0.1100689434,1108.1071429,0.0222915223,0.0919649894,0.167,1.0,0.7702831689468661,0.11,300.6,1850.0,0.13,7.9970919666,387.88130384
0500000US39001,"Adams County, Ohio",Adams County,Adams,Ohio,OH,39001,39,3902,8,0.5178665182955814,0.6516,27420.0,49521,0.7967567568,0.1424872355944566,0.0020423049,0.9684536834427424,0.178,0.0300875273522975,0.1860320933625091,0.1369999999999999,0.0276805251641137,0.1104745433,2295.1666667,0.0537408759,0.0945945946,0.479,0.0,0.5434298440979957,0.165,511.0,3402.0,0.206,,653.95834577
