Name,GEO_ID,State,Complete County Name,State Abbreviation,County Equivalent Name,5-digit FIPS Code,Median Income,Poverty 18-64,Unemployment,Lacking Complete Plumbing Facilities,65+,White Population,Percent Less Than High School Graduate,Uninsured,Percent With Internet,Long Commutes,Some College or Associate's Degree,No Vehicle Available,Housing Cost Burden,Ratio of population to primary care physicians,Mental Health Providers,Drinking Water Violations,Food Insecurity,Natural Disaster Risk,RUCC_2023,IRR2000,State_Label,RADI (PCA),SDOH Score (PCA),RADI (PCA with IRR),RADI (Autoencoder),RADI (Autoencoder with IRR),Premature Mortality,Infant Mortality,Preventable Hospital Stays,Heart Disease Mortality,Poor or Fair Health
"Abbeville County, South Carolina",0500000US45001,South Carolina,Abbeville County,SC,Abbeville,45001,0.6698379314610912,0.128,0.0386939468,0.0231154540975529,0.2256528165544424,0.3068648382328789,0.175,0.1324577026,0.23877338879999999,0.445,0.8494826736738381,0.022869108227952,0.1058718861,0.1402994504495172,0.9993841353,1.0,0.096,0.386891504931594,6.0,0.5105331959828361,0,41.82995370069281,41.15596895221652,41.15596895221652,19.925316,76.77864,564.94138246,7.628324724249334,2519.0,354.9,0.2
"Accomack County, Virginia",0500000US51001,Virginia,Accomack County,VA,Accomack,51001,0.6031795125572188,0.122,0.0327171082,0.0300382633846524,0.2525383387062758,0.39019613750715554,0.1009999999999999,0.1339616429,0.19421835529999998,0.254,0.875990479346811,0.0294658190473321,0.1183008526,0.1736468237818639,0.9987044681,1.0,0.097,0.895641107222399,9.0,0.5022571246931485,1,40.97459034726649,40.057507331474646,40.057507331474646,21.118004,76.235985,536.96065031,9.4711917916,2002.0,421.9,0.205
"Adair County, Kentucky",0500000US21001,Kentucky,Adair County,KY,Adair,21001,0.6920574044290486,0.173,0.0454482279,0.0261708711386164,0.1958881837730109,0.08921172706770863,0.094,0.0787050156,0.18433044249999997,0.271,0.8529920805580322,0.0232863061834583,0.0891551268,0.21123238003625733,0.997272775,0.0,0.137,0.3608017817371937,7.0,0.5372789196498806,2,41.75965524958275,41.61327327303637,41.61327327303637,20.138382,77.424095,540.49801366,7.7294323864689645,3499.0,430.1,0.226
"Adair County, Missouri",0500000US29001,Missouri,Adair County,MO,Adair,29001,0.6145243102808363,0.268,0.0298750127,0.0416451420623882,0.1519173455195708,0.10892112060401349,0.051,0.1373000161,0.191448556,0.167,0.9008146234849991,0.0257500496721637,0.1227541148,0.09232255590809871,0.9970991456,1.0,0.129,0.5154311167674197,7.0,0.5258633951622329,3,45.59210361214524,44.7504836678721,44.7504836678721,21.184769,75.770355,473.63206452,6.921989111044427,2520.0,309.1,0.192
"Adair County, Oklahoma",0500000US40001,Oklahoma,Adair County,OK,Adair,40001,0.7203637263392304,0.1969999999999999,0.0334805859,0.0323865958316305,0.15830608908868,0.5956272987331427,0.1369999999999999,0.2009690051,0.45137266359999995,0.391,0.8651409889660809,0.0342255823457294,0.1108280255,0.21479891967886344,0.997496935,0.0,0.175,0.662424435252943,8.0,0.5261566336609764,4,72.22365557061023,71.15630936210182,71.15630936210182,7.2495575,28.349709,722.92191602,9.5419847328,5556.0,624.1,0.289
"Adams County, Idaho",0500000US16003,Idaho,Adams County,ID,Adams,16003,0.5810837560311766,0.142,0.0527210884,0.0128710815860494,0.2900145318663068,0.12559684450903053,0.132,0.1208307111,0.2614107884,0.216,0.8168984845339423,0.0039443637118538,0.1131611316,0.1281833092863221,0.9993772057,0.0,0.12,0.5090677696468342,9.0,0.632306154343011,5,36.902371110631975,39.333589153837586,39.333589153837586,19.342598,88.39293,345.95211032,5.529568633698833,1260.0,214.4,0.157
"Adams County, Illinois",0500000US17001,Illinois,Adams County,IL,Adams,17001,0.5108623036001485,0.111,0.0332033788,0.0079412900733874,0.2019621475473155,0.08426419466975676,0.076,0.0583808572,0.1638413969,0.172,0.8378370027037467,0.0302201622247972,0.0895914689,0.10648584418032483,0.9968945539,1.0,0.094,0.5109767737830099,5.0,0.4924214903731806,6,21.040017980672207,19.834239105353372,19.834239105353372,22.896362,79.16075,410.62059731,6.1638868745,3987.0,298.1,0.148
"Adams County, Mississippi",0500000US28001,Mississippi,Adams County,MS,Adams,28001,0.816590374860819,0.26,0.0515816472,0.0558293438468037,0.2207476767107856,0.6069065052098002,0.242,0.1653450229,0.18695128250000004,0.2,0.8390594198817235,0.0324556462968178,0.1447850395,0.11948109606348736,0.9987679527,0.0,0.185,0.5437480114540248,7.0,0.5029885977259536,7,68.78466116607095,67.19311992039778,67.19311992039778,7.250229,26.181343,623.15340639,9.5198675497,3185.0,382.6,0.273
"Adams County, Nebraska",0500000US31001,Nebraska,Adams County,NE,Adams,31001,0.501979463070642,0.126,0.0222915223,0.0012269938650306,0.1850500484339683,0.1459799806264127,0.09,0.0919649894,0.13761107179999998,0.167,0.8117210203422667,0.0220858895705521,0.1100689434,0.1121427778645159,0.995963836,1.0,0.11,0.7702831689468661,4.0,0.5208698934557126,8,18.19684018659786,17.207786737147536,17.207786737147536,25.612152,78.16618,387.88130384,7.9970919666,1850.0,300.6,0.13
"Adams County, Ohio",0500000US39001,Ohio,Adams County,OH,Adams,39001,0.7018928615613015,0.178,0.0537408759,0.0300875273522975,0.1860320933625091,0.03154631655725759,0.1369999999999999,0.0945945946,0.20324324319999998,0.479,0.8575127644055434,0.0276805251641137,0.1104745433,0.1560607742313811,0.9979576951,0.0,0.165,0.5434298440979957,8.0,0.5178665182955814,9,51.779753277108945,50.96690549040114,50.96690549040114,13.504471,67.42909,653.95834577,8.566403188425408,3402.0,511.0,0.206
"Adams County, Washington",0500000US53001,Washington,Adams County,WA,Adams,53001,0.5098725720648274,0.174,0.051372273,0.0121177424741186,0.1166929058728114,0.528648442345308,0.228,0.1631839119,0.14974619290000002,0.283,0.9032488907971948,0.0196555507847908,0.099242923,0.18013456446409412,0.9981871094,0.0,0.108,0.3983455297486478,6.0,0.558032641632651,10,43.00504867401553,42.91315010638458,42.91315010638458,20.459145,75.66016,375.29282714,5.695770476022426,1157.0,299.9,0.249
"Adams County, Wisconsin",0500000US55001,Wisconsin,Adams County,WI,Adams,55001,0.5827291847086478,0.141,0.0480332338,0.0315650617167624,0.311080750023556,0.11434090266654107,0.147,0.0818134054,0.19790758500000005,0.438,0.8388768491472722,0.0204466220672759,0.1255183234,0.45730511672647894,0.9992933195,1.0,0.109,0.3614381164492524,8.0,0.5401018224063272,11,43.70365594080201,44.08235804390303,44.08235804390303,17.652962,51.786976,447.83852053,6.343210613675559,1376.0,300.2,0.16
"Addison County, Vermont",0500000US50001,Vermont,Addison County,VT,Addison,50001,0.21993071879252757,0.083,0.0242476519,0.0065463835222736,0.2199691308744478,0.09428388950981959,0.035,0.0420375496,0.1128607103,0.415,0.8918516153068285,0.0166586832721273,0.1214098291,0.10396769607236672,0.9965139177,0.0,0.073,0.1609926821508113,6.0,0.5090030101024007,12,10.643763875111233,10.434386747365314,10.434386747365314,21.728882,82.61087,253.96643041,4.889247077404393,1663.0,330.1,0.103
"Alamosa County, Colorado",0500000US08003,Colorado,Alamosa County,CO,Alamosa,8003,0.6780898181368304,0.181,0.0362770246,0.0233847637415622,0.1468177434908389,0.38669238187078114,0.081,0.1342266636,0.11033843300000001,0.131,0.8282304725168756,0.0286885245901639,0.098026835,0.12216199884198453,0.9857762777,1.0,0.121,0.3433025771555838,7.0,0.5619212778170661,13,34.79472116770495,34.63352534625094,34.63352534625094,48.35328,77.34483,549.16504249,7.36286604842786,2015.0,286.4,0.197
"Albany County, Wyoming",0500000US56001,Wyoming,Albany County,WY,Albany,56001,0.5737226277372263,0.251,0.0311970638,0.0074675922273934,0.12965738476506,0.15734532355183928,0.017,0.1313784123,0.09772866790000001,0.097,0.8779942678341354,0.0288185953564197,0.2010635604,0.11752562062969403,0.9937682417,0.0,0.123,0.4282532612153993,4.0,0.5565158867693919,14,34.499579843096846,33.51806478401132,33.51806478401132,34.463715,76.477325,326.40605673,5.423521275456794,1462.0,261.1,0.133
"Alcona County, Michigan",0500000US26001,Michigan,Alcona County,MI,Alcona,26001,0.6518248175182482,0.17,0.0695131476,0.0514543534606892,0.3584525295190554,0.06623788038782763,0.231,0.0841576625,0.20757450330000005,0.349,0.8242296246520112,0.016607468561006,0.1045483941,0.14687927781271967,0.9989440338,0.0,0.149,0.0292713967546929,9.0,0.5622214869531805,15,50.54669105109093,51.865906157491104,51.865906157491104,17.764977,55.384403,489.20362774,6.920592172953884,2314.0,458.9,0.163
"Alcorn County, Mississippi",0500000US28003,Mississippi,Alcorn County,MS,Alcorn,28003,0.7033403439317085,0.173,0.0359340878,0.0350543796047245,0.1893638170974155,0.1835457841188165,0.139,0.1474072991,0.26805008939999997,0.268,0.8377090398783769,0.040989357969828,0.1085983152,0.1558671550297828,0.9968132382,0.0,0.179,0.6996500159083677,7.0,0.4963736940175709,7,54.41309015130352,52.85630267075712,52.85630267075712,10.588058,71.88662,601.50086812,10.48714479,4218.0,507.9,0.221
"Alfalfa County, Oklahoma",0500000US40003,Oklahoma,Alfalfa County,OK,Alfalfa,40003,0.47488556229122847,0.1169999999999999,0.0200445434,0.0400922476494589,0.2013482348767074,0.16551357104843,0.215,0.1670829864,0.14488791690000002,0.264,0.8312932410856839,0.0104665602270711,0.0545134818,0.17677309556402382,0.9998226007,1.0,0.106,0.2370346802418071,8.0,0.5868668899408681,4,27.76058976147271,29.724212108217053,29.724212108217053,19.073364,83.77424,393.23564419,6.023945772358752,1895.0,451.9,0.178
"Allegan County, Michigan",0500000US26005,Michigan,Allegan County,MI,Allegan,26005,0.32166274897933933,0.085,0.0371570709,0.0045870802739047,0.177831862057586,0.1093391634353601,0.166,0.0624159187,0.114564891,0.329,0.8449055358468773,0.0103291807606633,0.0727818161,0.25013873987198937,0.9989192311,1.0,0.087,0.5055679287305123,4.0,0.4626248349623384,15,13.68978047480608,12.161424180266328,12.161424180266328,22.61419,79.43722,355.56691429,4.5741668482,2098.0,330.2,0.148
"Allegany County, Maryland",0500000US24001,Maryland,Allegany County,MD,Allegany,24001,0.6045032784857107,0.179,0.0402867983,0.0264617122809104,0.2110990530274874,0.12068324735754532,0.085,0.0631697452,0.17664409000000003,0.218,0.8532118274934218,0.0376113101520805,0.111313515,0.14075108628140146,0.9960604754,0.0,0.148,0.4237989182309894,4.0,0.4425736968184692,16,38.683534610705024,35.96005847784259,35.96005847784259,22.598679,77.65439,520.06412209,8.0267558528,2768.0,456.4,0.168
"Allegany County, New York",0500000US36003,New York,Allegany County,NY,Allegany,36003,0.5569961647903006,0.176,0.0403495918,0.0355720221013406,0.1987193215402407,0.055681672163447216,0.043,0.0506455417,0.16695414259999997,0.317,0.8502163018803273,0.0299610228294855,0.1084300362,0.17775814865514816,0.9974300767,1.0,0.11,0.3652561247216035,7.0,0.5071303468940742,17,35.5788370165087,34.784785302631825,34.784785302631825,21.349915,78.34591,395.83313697,6.366218862169162,2714.0,316.7,0.147
"Alleghany County, North Carolina",0500000US37005,North Carolina,Alleghany County,NC,Alleghany,37005,0.7668316219225535,0.148,0.0386228206,0.0139472507822977,0.2943227536879749,0.09566383549396518,0.102,0.1842373313,0.20761596110000002,0.303,0.8492624050067055,0.0287885561019222,0.1192482178,0.10830791170594546,0.9975860527,0.0,0.158,0.0804963410754056,9.0,0.5433395288697862,18,48.77316328850046,49.21826353715365,49.21826353715365,17.434944,64.13739,430.33979238,6.522560072009245,2368.0,324.8,0.194
"Alleghany County, Virginia",0500000US51005,Virginia,Alleghany County,VA,Alleghany,51005,0.6321291599653593,0.1,0.032720753,0.0494101786316144,0.2599932591843613,0.068149646107179,0.093,0.079985523,0.21683309559999997,0.262,0.8279069767441861,0.0304684866868891,0.0770801429,0.1635527273188057,0.9996629592,0.0,0.109,0.1415844734330257,6.0,0.544550964478773,1,34.14395174077504,34.79155079370869,34.79155079370869,19.234482,78.19295,558.3905866,8.183161661130093,4445.0,431.2,0.172
"Allen County, Kansas",0500000US20001,Kansas,Allen County,KS,Allen,20001,0.6017196585426203,0.127,0.028833967,0.025041736227045,0.2062167103903331,0.09579457826536275,0.104,0.1144076619,0.18771331059999996,0.18,0.8247873439860085,0.0294141028698624,0.0715187211,0.1287875985053091,0.9980920582,0.0,0.119,0.2612153993000318,7.0,0.5443680710817089,19,31.661339109239854,32.1144162507282,32.1144162507282,20.251251,80.43387,488.28655797,7.181102452119803,3043.0,387.4,0.161
"Allen Parish, Louisiana",0500000US22003,Louisiana,Allen Parish,LA,Allen,22003,0.6818879129036248,0.19,0.0417076772,0.0350806451612903,0.1456093189964157,0.2914426523297491,0.145,0.0878554615,0.241094814,0.404,0.8490591397849463,0.0298835125448028,0.0881831811,0.2809852380776203,0.9988799283,1.0,0.145,0.6404708876869233,6.0,0.5244380838603415,20,51.81998427899601,50.817835599134085,50.817835599134085,11.241638,69.78993,652.92633612,8.88642561163418,4355.0,475.1,0.217
